shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month,id,company_rating,company_location,total_fleet_count,iata_approved
Rwanda,Type V5,Plasma,ThetaBase Services,0.0,2,strict,1.0,True,False,2107.9829123754157,43008,41858,100.0,10.0,10.0,10.0,10.0,10.0,9.0,2,2.0,43008,0.9723425468129374,Costa Rica,5.0,False
Malta,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,False,False,2288.238224727606,28828,34830,71.0,8.0,8.0,10.0,9.0,8.0,7.0,7,0.18,28828,0.9990558173786396,Isle of Man,198.0,True
Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,4,strict,1.0,False,False,3425.071340468986,1835,68711,93.0,10.0,10.0,10.0,10.0,9.0,9.0,24,1.17,1835,0.9986447373102113,Ecuador,8.0,False
Barbados,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,False,False,6083.9870884468655,3391,49440,84.0,10.0,9.0,9.0,9.0,10.0,9.0,14,0.45,3391,1.0,Iran,58.0,True
Kenya,Type V2,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1242.0961082929084,41,38073,84.0,8.0,8.0,8.0,8.0,8.0,8.0,5,0.69,41,1.0,Portugal,2.0,False
Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,2800.6830309114753,40264,60575,99.0,10.0,10.0,10.0,10.0,10.0,10.0,19,3.73,40264,1.0,Russian Federation,1.0,False
Guinea,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,False,False,1587.9903159654732,29926,76573,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.03,29926,0.67398448045512,Zimbabwe,7.0,True
Brazil,Type V5,Plasma,ThetaBase Services,0.0,2,moderate,0.0,True,False,1848.4542290900724,23662,50518,89.0,9.0,9.0,10.0,10.0,9.0,9.0,11,1.96,23662,1.0,Vanuatu,3.0,False
United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1703.4815442671331,478,31362,99.0,10.0,10.0,10.0,10.0,10.0,10.0,25,1.75,478,1.0,Holy See (Vatican City State),1.0,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,3.0,6,strict,3.0,True,False,4592.155319113042,28047,40010,93.0,10.0,10.0,9.0,9.0,9.0,9.0,3,0.21,28047,0.9987767661786725,Uzbekistan,4.0,False
Kiribati,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1390.2206305095726,8862,9401,95.0,10.0,10.0,10.0,10.0,9.0,10.0,75,2.45,8862,1.0,Nicaragua,3.0,False
Malta,Type V2,Quantum,ThetaBase Services,2.0,4,moderate,3.0,False,False,2165.3874119629418,40626,63669,97.0,10.0,10.0,10.0,10.0,10.0,9.0,15,0.76,40626,0.955416198467188,United Kingdom,5.0,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1459.997101955323,3443,40133,100.0,10.0,10.0,10.0,10.0,9.0,10.0,9,0.55,3443,1.0,Jersey,1.0,False
Malta,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1497.093721769855,30684,3000,70.0,8.0,6.0,9.0,10.0,9.0,7.0,2,0.07,30684,1.0,Niue,2.0,True
Costa Rica,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,1525.0950920929301,12014,29444,95.0,10.0,9.0,10.0,10.0,10.0,10.0,4,0.81,12014,1.0,Pakistan,1.0,False
Malta,Type V5,Plasma,ThetaBase Services,1.0,4,strict,1.0,False,False,3477.5955036345135,49330,1810,100.0,10.0,10.0,9.0,10.0,10.0,10.0,5,0.37,49330,0.9889896691411636,Indonesia,1.0,False
Faroe Islands,Type V2,Quantum,ThetaBase Services,1.0,1,flexible,1.0,True,False,1185.3935721874227,10741,72856,96.0,10.0,9.0,10.0,10.0,9.0,10.0,38,2.33,10741,1.0,Micronesia,2.0,False
Micronesia,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,3054.621171294705,7840,8586,99.0,10.0,10.0,10.0,10.0,10.0,10.0,33,0.69,7840,0.9926867539305139,Kenya,1.0,True
United Kingdom,Type N0,Nuclear,ThetaBase Services,1.0,8,moderate,8.0,False,False,1125.7915625953551,39126,34418,80.0,8.0,8.0,9.0,9.0,9.0,8.0,166,4.43,39126,1.0,Guinea,9.0,False
Niue,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,False,False,1192.3534668837362,39379,74960,96.0,10.0,10.0,10.0,10.0,9.0,10.0,40,1.15,39379,0.9927364069202286,Guinea,1.0,False
Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1902.8707113256396,41501,15265,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.61,41501,0.996552225546411,Montserrat,2.0,True
Barbados,Type V5,Plasma,ThetaBase Services,1.0,4,strict,1.0,False,False,2947.7793253876166,3391,7885,82.0,9.0,9.0,8.0,7.0,10.0,8.0,13,0.45,3391,0.9812802909447694,Iran,58.0,True
Kiribati,Type F5,Quantum,ThetaBase Services,1.0,2,strict,2.0,False,False,1490.7151740445393,22321,28427,92.0,9.0,9.0,10.0,10.0,9.0,9.0,324,4.7,22321,0.9882675431005233,United Kingdom,16.0,False
Switzerland,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1596.525390999511,7251,58603,98.0,10.0,10.0,9.0,9.0,9.0,9.0,14,0.21,7251,1.0,Turks and Caicos Islands,3.0,True
Malta,Type F5,Plasma,ThetaBase Services,2.0,4,moderate,3.0,False,False,1769.058475009942,39765,53827,92.0,9.0,9.0,9.0,9.0,10.0,9.0,5,0.8,39765,0.9913115392168157,United Kingdom,2.0,True
Faroe Islands,Type F5,Plasma,ThetaBase Services,5.0,10,strict,5.0,False,False,5981.394731295598,29744,38178,98.0,10.0,9.0,10.0,10.0,10.0,9.0,10,0.42,29744,1.0,Micronesia,1.0,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,1858.4292312952725,44666,67915,95.0,10.0,9.0,10.0,10.0,10.0,9.0,25,0.88,44666,0.9904611091158668,Uzbekistan,1.0,True
Malta,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,False,False,2548.267592204736,32007,24885,90.0,9.0,10.0,8.0,10.0,8.0,9.0,2,0.31,32007,0.8045325450128578,El Salvador,2.0,False
Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,2044.4649430368565,12960,855,93.0,10.0,10.0,10.0,10.0,10.0,9.0,123,5.48,12960,0.9923812437102825,Indonesia,9.0,False
Costa Rica,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1835.6181865196593,5227,20596,100.0,10.0,10.0,10.0,10.0,10.0,10.0,30,0.74,5227,1.0,Gambia,1.0,False
Niue,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1222.8793424459543,41341,19874,100.0,10.0,10.0,10.0,10.0,10.0,10.0,6,2.34,41341,0.9846521267090486,Guinea,3.0,True
Russian Federation,Type O3,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1577.853063336272,43481,25953,98.0,10.0,10.0,10.0,10.0,10.0,10.0,38,0.71,43481,0.9954681702437044,Russian Federation,4.0,True
Barbados,Type V5,Plasma,ThetaBase Services,2.0,7,strict,3.0,False,False,4539.233323041691,10158,55592,94.0,10.0,9.0,10.0,10.0,10.0,9.0,21,0.98,10158,0.9915378671471227,Ukraine,6.0,True
United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1183.1772481546484,17650,62917,90.0,9.0,10.0,10.0,10.0,10.0,10.0,2,0.45,17650,1.0,Tanzania,1.0,False
Malta,Type V5,Quantum,ThetaBase Services,2.0,2,strict,1.0,False,False,1508.953649569396,36535,72370,94.0,10.0,10.0,10.0,10.0,9.0,10.0,36,1.31,36535,1.0,Mauritania,1.0,False
Niue,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,2.0,True,False,1359.6134696050979,46071,60065,100.0,10.0,10.0,10.0,10.0,9.0,10.0,2,2.0,46071,0.8776742394538452,Niue,2.0,False
Barbados,Type V5,Plasma,ThetaBase Services,0.0,2,strict,1.0,True,False,1993.9038019572542,39952,33239,91.0,9.0,9.0,9.0,10.0,10.0,9.0,13,2.17,39952,0.9979681926337912,Tonga,21.0,False
Malta,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,2306.665690897786,30683,40243,92.0,10.0,9.0,10.0,10.0,10.0,9.0,33,2.18,30683,0.9922768215727716,Marshall Islands,1.0,False
Nicaragua,Type G0,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,4018.048459055257,19842,6948,71.0,8.0,8.0,6.0,7.0,10.0,7.0,14,0.52,19842,0.8595025719386854,Turkmenistan,53.0,False
Barbados,Type V5,Plasma,ThetaBase Services,2.0,5,strict,3.0,False,False,1914.171263951225,23143,28516,84.0,8.0,9.0,10.0,10.0,10.0,9.0,10,1.02,23143,0.6627152414765394,Bouvet Island (Bouvetoya),14.0,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,2709.0007062511936,39481,9962,100.0,10.0,10.0,10.0,10.0,10.0,10.0,19,0.45,39481,0.9855835485348918,Uzbekistan,1.0,True
Niue,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,True,False,1292.8842329666693,33372,24776,89.0,9.0,9.0,10.0,10.0,9.0,9.0,145,8.27,33372,1.0,Guinea,22.0,True
Malta,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1520.5928563848554,23870,7148,100.0,10.0,10.0,10.0,10.0,10.0,10.0,15,0.93,23870,0.9917670393074229,Brazil,1.0,False
Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,True,False,5479.573858335658,45111,13389,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.18,45111,0.9974708322728069,Sao Tome and Principe,420.0,False
United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,2.0,False,False,1363.5507005323152,9640,26525,100.0,10.0,10.0,10.0,10.0,10.0,10.0,8,0.21,9640,1.0,Denmark,2.0,True
Malta,Type F5,Plasma,ThetaBase Services,2.0,6,strict,3.0,False,False,2419.7462989994233,32362,13669,96.0,10.0,9.0,10.0,10.0,10.0,10.0,33,2.41,32362,1.0,Marshall Islands,4.0,True
Nicaragua,Type V5,Plasma,ThetaBase Services,0.0,3,moderate,0.0,True,False,1864.002243885272,32658,76670,60.0,10.0,6.0,10.0,8.0,8.0,6.0,1,1.0,32658,0.8399615027296912,Saint Helena,1.0,False
Indonesia,Type V2,Quantum,ThetaBase Services,2.0,4,moderate,2.0,True,False,1653.0331753458292,23695,64595,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,1.43,23695,1.0,France,3.0,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,False,False,2180.2545476072005,23221,26909,96.0,9.0,10.0,10.0,9.0,10.0,9.0,21,0.89,23221,0.9882849559183038,Chad,1.0,False
Malta,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,False,False,2550.6340355793996,9846,57024,97.0,10.0,10.0,10.0,10.0,10.0,10.0,40,6.06,9846,0.9875940641515927,Indonesia,3.0,True
Malta,Type V2,Plasma,ThetaBase Services,3.0,6,strict,3.0,False,False,2602.2543883796648,25265,40991,98.0,10.0,10.0,10.0,10.0,10.0,10.0,52,1.16,25265,1.0,Libyan Arab Jamahiriya,1.0,True
United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,6,strict,2.0,False,False,4720.508627161419,43428,47413,96.0,10.0,10.0,10.0,9.0,10.0,9.0,5,0.54,43428,0.7302172949098972,Faroe Islands,9.0,True
Costa Rica,Type F5,Plasma,ThetaBase Services,1.0,5,flexible,2.0,True,False,1783.4344949605645,13033,10698,80.0,8.0,6.0,4.0,8.0,10.0,8.0,2,1.09,13033,0.7716768168153075,Moldova,3.0,True
Isle of Man,Type V5,Plasma,ThetaBase Services,2.0,6,moderate,2.0,True,False,2548.4789346290504,8355,19208,90.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.65,8355,0.881595962893755,Togo,16.0,False
Russian Federation,Type V5,Plasma,ThetaBase Services,0.0,2,flexible,1.0,True,False,1958.3959825968732,34763,15441,73.0,8.0,9.0,8.0,9.0,8.0,7.0,20,2.65,34763,0.9786088587556915,Russian Federation,4.0,False
Micronesia,Type V5,Plasma,ThetaBase Services,2.0,2,strict,1.0,False,False,1972.2193083662175,18306,51142,93.0,9.0,9.0,10.0,10.0,10.0,9.0,6,0.5,18306,0.898540625638867,Jersey,5.0,False
Rwanda,Type V5,Plasma,ThetaBase Services,2.0,8,strict,4.0,True,False,2289.484715636346,15004,62066,80.0,9.0,9.0,9.0,9.0,9.0,9.0,30,1.56,15004,1.0,Uzbekistan,88.0,False
Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1320.4617686912645,2183,33493,98.0,10.0,10.0,10.0,10.0,10.0,10.0,24,0.9,2183,1.0,Isle of Man,3.0,False
Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1526.7011845476636,17216,45452,94.0,10.0,9.0,10.0,10.0,10.0,9.0,31,0.69,17216,0.9963695013631142,Ecuador,2.0,True
Barbados,Type V5,Plasma,ThetaBase Services,2.0,8,moderate,4.0,True,False,4131.846698107543,19831,34560,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,19831,0.9856705091638291,Reunion,2.0,False
Gambia,Type V5,Plasma,ThetaBase Services,2.0,10,flexible,4.0,True,False,2875.3536194349895,9131,72837,100.0,8.0,10.0,10.0,10.0,10.0,10.0,1,0.21,9131,1.0,Gambia,5.0,False
Malta,Type V5,Plasma,ThetaBase Services,1.0,3,flexible,2.0,False,False,2246.3928020422127,46607,50910,94.0,10.0,10.0,10.0,10.0,10.0,9.0,7,1.51,46607,1.0,Brazil,4.0,False
Micronesia,Type V2,Plasma,ThetaBase Services,2.0,4,strict,2.0,True,False,3467.280775240734,28177,60534,90.0,9.0,9.0,9.0,9.0,10.0,8.0,8,0.45,28177,0.9951100771042153,Kenya,1.0,False
Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,3,strict,2.0,False,False,2358.46543061489,50035,76872,100.0,10.0,10.0,10.0,10.0,10.0,10.0,19,2.15,50035,0.9938426254179079,Tonga,1.0,False
Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1586.69365811495,48455,21580,90.0,9.0,9.0,9.0,10.0,10.0,9.0,45,0.85,48455,0.8828260783634057,Uzbekistan,20.0,True
Uzbekistan,Type V2,Plasma,ThetaBase Services,2.0,7,strict,3.0,False,False,2779.5694159664913,26406,53194,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,0.88,26406,0.9965541346426536,Kiribati,2.0,False
Marshall Islands,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,False,False,1134.4410623465778,38112,54635,100.0,10.0,10.0,10.0,8.0,10.0,10.0,1,1.0,38112,1.0,Malta,1.0,False
Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,False,False,2242.4268389282674,19120,41508,80.0,8.0,7.0,10.0,10.0,10.0,10.0,2,0.05,19120,0.9943398541726323,Peru,1.0,True
Micronesia,Type V5,Plasma,ThetaBase Services,2.0,2,strict,3.0,False,False,2385.9354392905047,29240,58833,100.0,10.0,10.0,10.0,10.0,10.0,8.0,4,0.29,29240,0.6656041972443776,Kenya,1.0,False
Bouvet Island (Bouvetoya),Type Z6,Plasma,ThetaBase Services,2.0,4,flexible,2.0,False,False,3753.7216639223598,3932,55801,98.0,10.0,10.0,10.0,10.0,10.0,10.0,52,1.1,3932,1.0,Uzbekistan,2.0,False
Uzbekistan,Type V5,Plasma,ThetaBase Services,1.0,4,strict,1.0,True,False,3215.62998494391,33873,28135,90.0,10.0,8.0,9.0,10.0,10.0,10.0,2,0.36,33873,0.9851758585894113,Turks and Caicos Islands,8.0,True
Rwanda,Type Z6,Plasma,ThetaBase Services,0.0,2,strict,1.0,False,False,2094.5668614345914,44796,37460,100.0,10.0,9.0,10.0,10.0,10.0,9.0,3,3.0,44796,0.9962406428008642,Maldives,2.0,True
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,3.0,4,strict,2.0,False,False,2803.2896609808604,24033,48368,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.19,24033,0.983240589809009,Uganda,45.0,False
Micronesia,Type G0,Plasma,ThetaBase Services,0.0,4,moderate,1.0,True,False,2616.6202039780715,21240,46122,95.0,8.0,10.0,10.0,10.0,10.0,8.0,4,0.4,21240,0.941084124733529,Niger,130.0,False
Isle of Man,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,True,False,1259.4095121782166,20796,34992,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.04,20796,0.9806059459185813,Togo,2.0,False
Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,True,False,2148.20226610308,48652,16911,90.0,9.0,9.0,10.0,10.0,10.0,9.0,98,1.26,48652,1.0,Isle of Man,1.0,True
Guinea,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,False,False,1715.512081691962,13674,72350,93.0,10.0,9.0,10.0,10.0,10.0,10.0,21,0.93,13674,0.88685362604208,Fiji,2.0,True
Brazil,Type F5,Quantum,ThetaBase Services,2.0,4,flexible,4.0,True,False,2026.3471133609378,44385,34255,75.0,7.0,9.0,7.0,7.0,7.0,7.0,4,0.86,44385,0.48227421434638545,Vanuatu,1.0,False
Bouvet Island (Bouvetoya),Type V2,Quantum,ThetaBase Services,1.0,1,flexible,1.0,True,False,1206.4173362265296,636,28038,97.0,10.0,10.0,10.0,10.0,10.0,10.0,27,11.41,636,0.9663638670409838,Vanuatu,3.0,False
Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,8,flexible,4.0,False,False,2823.6830656686075,48470,51081,94.0,10.0,9.0,10.0,10.0,10.0,9.0,47,2.19,48470,0.9171110729167705,Pakistan,4.0,False
United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,False,False,2516.554012568753,17972,3590,97.0,10.0,9.0,10.0,10.0,10.0,10.0,37,0.84,17972,1.0,Guinea,1.0,False
Rwanda,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,1847.1534983377946,11332,50290,100.0,10.0,10.0,10.0,10.0,10.0,10.0,6,0.13,11332,0.9807768589454603,Croatia,2.0,True
Costa Rica,Type V2,Quantum,ThetaBase Services,1.0,2,moderate,1.0,True,False,1273.6456778671245,49043,11251,93.0,10.0,9.0,10.0,10.0,9.0,9.0,83,2.11,49043,0.9865687473235546,Micronesia,4.0,True
Russian Federation,Type V5,Plasma,ThetaBase Services,4.0,8,moderate,3.0,True,False,2179.761105797686,23325,1598,97.0,10.0,9.0,10.0,10.0,10.0,10.0,64,1.79,23325,0.9960439962675429,Russian Federation,2.0,True
Rwanda,Type Z6,Plasma,ThetaBase Services,2.0,6,strict,3.0,True,False,2271.0914765917933,29926,60336,91.0,9.0,8.0,9.0,10.0,9.0,9.0,33,0.73,29926,0.6923835316177086,Zimbabwe,7.0,True
Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,1,strict,1.0,True,False,2657.8944333013,48575,64065,100.0,10.0,8.0,10.0,10.0,10.0,8.0,1,0.23,48575,0.6606104585203113,Jersey,3.0,False
Barbados,Type V5,Plasma,ThetaBase Services,2.0,6,strict,0.0,False,False,4106.8634572435,47811,15504,99.0,10.0,10.0,10.0,10.0,10.0,10.0,31,1.65,47811,0.990691147562968,Vietnam,2.0,False
United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1125.506193847151,19979,61692,98.0,10.0,10.0,10.0,10.0,10.0,10.0,8,0.46,19979,1.0,Tanzania,1.0,False
Rwanda,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2043.1917752757163,9852,23696,85.0,9.0,9.0,10.0,10.0,9.0,9.0,4,0.26,9852,1.0,Maldives,11.0,False
Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,2819.8945136239763,3176,38389,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4,1.08,3176,1.0,Uzbekistan,1.0,True
Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1457.3145083422644,33394,71426,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,33394,0.9927290045982403,Bosnia and Herzegovina,2.0,True
El Salvador,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,True,False,1099.2894656348176,36260,46272,99.0,10.0,10.0,10.0,10.0,10.0,10.0,34,2.04,36260,0.9989836415227095,Papua New Guinea,1.0,False
Barbados,Type V7,Quantum,ThetaBase Services,1.0,3,strict,2.0,True,False,1710.436653631323,8331,20818,93.0,9.0,10.0,9.0,9.0,10.0,9.0,40,2.55,8331,0.7131563186218824,Uganda,2.0,False
Nicaragua,Type V5,Plasma,ThetaBase Services,0.0,2,strict,1.0,False,False,1649.1604461705176,6594,40601,95.0,10.0,10.0,10.0,10.0,10.0,10.0,4,0.53,6594,0.998551591232642,Cuba,2.0,True
Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1364.6696912923765,4322,38340,73.0,9.0,7.0,10.0,9.0,9.0,9.0,9,0.86,4322,0.9812305319752646,Tonga,32.0,False
Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,True,False,2094.620545159234,17303,7999,80.0,10.0,10.0,6.0,6.0,10.0,10.0,2,0.56,17303,1.0,Russian Federation,5.0,True
Barbados,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,True,False,2654.2051768485576,48769,57868,98.0,10.0,10.0,10.0,10.0,10.0,9.0,8,1.14,48769,0.9896037092158108,Indonesia,4.0,True
Malta,Type F5,Plasma,ThetaBase Services,3.0,6,moderate,4.0,False,False,6021.898249628258,18077,16390,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.12,18077,0.9998368278765398,Sao Tome and Principe,139.0,False
Rwanda,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1464.1062165969638,46421,13775,96.0,10.0,10.0,10.0,10.0,9.0,9.0,51,0.69,46421,0.8098138399227504,Croatia,2.0,True
Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2149.987118450524,28828,27493,94.0,10.0,9.0,10.0,10.0,10.0,9.0,10,0.63,28828,1.0,Isle of Man,198.0,True
Malta,Type N0,Quantum,ThetaBase Services,1.0,4,flexible,4.0,False,False,2281.228718268152,31805,48901,83.0,9.0,9.0,9.0,9.0,9.0,9.0,92,3.38,31805,0.9895974710157918,Mauritania,20.0,False
Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,strict,0.0,True,False,1836.6073809312882,38163,44287,96.0,10.0,10.0,10.0,10.0,10.0,10.0,113,3.5,38163,0.981082856110285,Venezuela,3.0,False
Malta,Type V5,Plasma,ThetaBase Services,2.0,6,strict,2.0,False,False,13973.066771828435,12173,76257,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.65,12173,0.9820400851859028,Uganda,9.0,False
Uzbekistan,Type V2,Plasma,ThetaBase Services,3.0,4,strict,2.0,False,False,1818.4540193129294,11110,41397,90.0,9.0,9.0,9.0,9.0,8.0,9.0,9,0.42,11110,0.8641669441037289,Kiribati,3.0,True
Niue,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,False,False,2032.0675195405754,20469,59038,100.0,10.0,8.0,10.0,10.0,10.0,10.0,1,0.3,20469,0.3248955779323345,Guinea,1.0,True
Uzbekistan,Type V7,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1455.5132930285627,47200,55044,97.0,10.0,10.0,10.0,10.0,10.0,10.0,23,1.39,47200,0.6662288212630656,Costa Rica,1.0,True
Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1581.258069203735,34500,23808,99.0,10.0,10.0,10.0,10.0,10.0,10.0,25,1.74,34500,0.9852458859890598,Chad,1.0,True
Rwanda,Type G0,Plasma,ThetaBase Services,1.0,3,strict,1.0,True,False,2875.693453154635,37646,47572,93.0,10.0,9.0,9.0,9.0,10.0,9.0,6,0.2,37646,1.0,Estonia,60.0,False
Russian Federation,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1559.8809133801803,36524,41543,99.0,10.0,10.0,10.0,10.0,10.0,10.0,62,2.9,36524,0.9873623092277946,Saint Helena,8.0,True
Malta,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,2441.024520905959,13114,49528,100.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0.72,13114,0.9862944095793299,Indonesia,1.0,False
Barbados,Type V5,Plasma,ThetaBase Services,2.0,5,strict,3.0,False,False,4633.0915854502555,13365,27049,93.0,9.0,10.0,10.0,10.0,10.0,9.0,56,0.81,13365,1.0,Indonesia,7.0,True
Malta,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,False,False,1969.005110268441,30549,17006,91.0,9.0,9.0,10.0,10.0,10.0,9.0,7,2.36,30549,1.0,Mauritania,1.0,True
United Kingdom,Type V5,Plasma,ThetaBase Services,4.0,12,strict,8.0,False,False,5964.972929979973,37999,31274,92.0,10.0,10.0,10.0,9.0,8.0,9.0,10,1.53,37999,1.0,Senegal,20.0,True
Uzbekistan,Type V2,Quantum,ThetaBase Services,1.0,2,flexible,1.0,True,False,1256.5702650436824,30610,52391,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,0.75,30610,1.0,Kiribati,1.0,True
Russian Federation,Type G0,Plasma,ThetaBase Services,1.0,3,strict,1.0,True,False,2891.143276080852,37646,9872,64.0,8.0,8.0,8.0,8.0,8.0,7.0,5,0.32,37646,1.0,Estonia,60.0,False
Rwanda,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2414.7894468155832,6894,27698,98.0,9.0,10.0,10.0,10.0,10.0,10.0,10,0.38,6894,0.7878794334827344,Estonia,47.0,True
Rwanda,Type V5,Plasma,ThetaBase Services,0.0,4,strict,1.0,False,False,2153.414664760822,32556,44746,86.0,9.0,9.0,10.0,10.0,10.0,9.0,7,0.26,32556,0.92159739260661,Estonia,11.0,True
Switzerland,Type F5,Plasma,ThetaBase Services,4.0,8,strict,5.0,False,False,2655.983045208299,6894,25417,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.14,6894,0.7813851554944452,Estonia,47.0,True
Costa Rica,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1242.5422214995003,49825,31032,96.0,10.0,9.0,10.0,9.0,9.0,10.0,15,0.87,49825,0.9949616074611232,Pakistan,7.0,True
Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,False,False,2572.068760923039,39109,74917,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,39109,0.7756065251957878,Ukraine,24.0,True
Marshall Islands,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1381.9857264412426,4795,71339,96.0,10.0,9.0,10.0,10.0,9.0,10.0,55,0.59,4795,0.9839478298430405,Malta,1.0,False
